GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,DISTRICT_NAME_RAW_gadm,DISTRICT_KEY,HH7,HH7A,n_children,n_eff,wt_prev_diarrhea,se,ci95_low,ci95_high,wt_prev_diarrhea_pct,ci95_low_pct,ci95_high_pct,DISTRICT_NAME_RAW_mics
BGD.4.8_1,BGD,Bangladesh,BGD.4_1,Khulna,NA,Meherpur,NA,NA,Zila,Distict,4057,BD.KH.ST,Meherpur,MEHERPUR,Khulna,Meherpur,284.0,276.53522982915854,0.0401857888673849,0.0118101279695694,0.0170379380470287,0.0633336396877412,4.02,1.7,6.33,Meherpur
BGD.4.9_1,BGD,Bangladesh,BGD.4_1,Khulna,NA,Narail,NA,NA,Zila,Distict,4065,BD.KH.ST,Narail,NARAIL,Khulna,Narail,356.0,350.9649164778839,0.0730374414945178,0.0138890333083013,0.0458149362102472,0.1002599467787884,7.3,4.58,10.03,Narail
BGD.4.10_1,BGD,Bangladesh,BGD.4_1,Khulna,NA,Satkhira,NA,NA,Zila,Distict,4087,BD.KH.ST,Satkhira,SATKHIRA,Khulna,Satkhira,304.0,300.0225804315276,0.0586854784411741,0.0135692465341957,0.0320897552341505,0.0852812016481978,5.87,3.21,8.53,Satkhira
BGD.8.5_1,BGD,Bangladesh,BGD.8_1,Mymensingh,NA,Jamalpur,NA,NA,Zila,Distict,3039,BD.MM.TA,Jamalpur,JAMALPUR,Mymenshing,Jamalpur,263.0,261.07398395343427,0.0397651923637407,0.0120936798607807,0.0160615798366105,0.063468804890871,3.98,1.61,6.35,Jamalpur
BGD.8.10_1,BGD,Bangladesh,BGD.8_1,Mymensingh,NA,Mymensingh,NA,NA,Zila,Distict,3061,BD.MM.TA,Mymensingh,MYMENSINGH,Mymenshing,Mymensingh,470.0,468.011457469014,0.1058324227241807,0.0142197049631727,0.0779618009963621,0.1337030444519994,10.58,7.8,13.37,Mymensingh
BGD.8.13_1,BGD,Bangladesh,BGD.8_1,Mymensingh,NA,Netrakona,NA,NA,Zila,Distict,3072,BD.MM.TA,Netrakona,NETROKONA,Mymenshing,Netrokona,375.0,359.15470224541394,0.1140107033731812,0.0167705100705736,0.0811405036348568,0.1468809031115056,11.4,8.11,14.69,Netrokona
BGD.8.16_1,BGD,Bangladesh,BGD.8_1,Mymensingh,NA,Sherpur,NA,NA,Zila,Distict,3089,BD.MM.TA,Sherpur,SHERPUR,Mymenshing,Sherpur,280.0,278.69578729071173,0.0291761956778245,0.0100813649751556,0.0094167203265194,0.0489356710291295,2.92,0.94,4.89,Sherpur
BGD.5.1_1,BGD,Bangladesh,BGD.5_1,Rajshahi,NA,Bogra,NA,NA,Zila,Distict,5010,BD.RS.SR,Bogra,BOGURA,Rajshahi,Bogura,300.0,294.82754522801616,0.0567199998646505,0.0134711414251266,0.0303165626714022,0.0831234370578987,5.67,3.03,8.31,Bogura
BGD.5.2_1,BGD,Bangladesh,BGD.5_1,Rajshahi,NA,Joypurhat,NA,NA,Zila,Distict,5038,BD.RS.SR,Joypurhat,JOYPURHAT,Rajshahi,Joypurhat,244.0,241.9048707920228,0.0504714722248953,0.0140752036952255,0.0228840729822533,0.0780588714675373,5.05,2.29,7.81,Joypurhat
BGD.5.3_1,BGD,Bangladesh,BGD.5_1,Rajshahi,NA,Naogaon,NA,NA,Zila,Distict,5064,BD.RS.SR,Naogaon,NAOGAON,Rajshahi,Naogaon,227.0,219.70597242320932,0.049227540071196,0.0145955825146071,0.0206201983425659,0.0778348817998261,4.92,2.06,7.78,Naogaon
BGD.5.4_1,BGD,Bangladesh,BGD.5_1,Rajshahi,NA,Natore,NA,NA,Zila,Distict,5069,BD.RS.SR,Natore,NATORE,Rajshahi,Natore,279.0,276.4395210028288,0.0630455300198454,0.014617945148125,0.0343943575295203,0.0916967025101705,6.3,3.44,9.17,Natore
BGD.5.5_1,BGD,Bangladesh,BGD.5_1,Rajshahi,NA,Nawabganj,NA,NA,Zila,Distict,5070,BD.RS.SR,Nawabganj,CHAPAI NAWABGANJ,Rajshahi,Chapai Nawabganj,381.0,378.4136652619423,0.0385631758647907,0.0098983627805995,0.0191623848148155,0.0579639669147659,3.86,1.92,5.8,Chapai Nawabganj
BGD.5.6_1,BGD,Bangladesh,BGD.5_1,Rajshahi,NA,Pabna,NA,NA,Zila,Distict,5076,BD.RS.SR,Pabna,PABNA,Rajshahi,Pabna,343.0,336.1359148282333,0.070299278776904,0.0139440701785222,0.0429689012270003,0.0976296563268077,7.03,4.3,9.76,Pabna
BGD.5.7_1,BGD,Bangladesh,BGD.5_1,Rajshahi,NA,Rajshahi,NA,NA,Zila,Distict,5081,BD.RS.SR,Rajshahi,RAJSHAHI,Rajshahi,Rajshahi,286.0,272.9845615521827,0.0912738390243585,0.0174309328969149,0.0571092105464052,0.1254384675023118,9.13,5.71,12.54,Rajshahi
BGD.5.8_1,BGD,Bangladesh,BGD.5_1,Rajshahi,NA,Sirajganj,NA,NA,Zila,Distict,5088,BD.RS.SR,Sirajganj,SIRAJGANJ,Rajshahi,Sirajganj,345.0,342.5284607693815,0.0843070303069993,0.0150126895653907,0.0548821587588334,0.1137319018551652,8.43,5.49,11.37,Sirajganj
BGD.6.1_1,BGD,Bangladesh,BGD.6_1,Rangpur,NA,Dinajpur,NA,NA,Zila,Distict,5527,BD.RP.TH,Dinajpur,DINAJPUR,Rangpur,Dinajpur,286.0,277.3393497068806,0.0496379049714808,0.013042040013732,0.0240755065445659,0.0752003033983957,4.96,2.41,7.52,Dinajpur
BGD.6.2_1,BGD,Bangladesh,BGD.6_1,Rangpur,NA,Gaibandha,NA,NA,Zila,Distict,5532,BD.RP.TH,Gaibandha,GAIBANDHA,Rangpur,Gaibandha,340.0,338.65616696910297,0.0631166923883007,0.0132140325476108,0.0372171885949834,0.0890161961816179,6.31,3.72,8.9,Gaibandha
BGD.6.3_1,BGD,Bangladesh,BGD.6_1,Rangpur,NA,Kurigram,NA,NA,Zila,Distict,5549,BD.RP.TH,Kurigram,KURIGRAM,Rangpur,Kurigram,338.0,334.6468085062385,0.0785781567278858,0.0147091245861633,0.0497482725390056,0.107408040916766,7.86,4.97,10.74,Kurigram
BGD.6.4_1,BGD,Bangladesh,BGD.6_1,Rangpur,NA,Lalmonirhat,NA,NA,Zila,Distict,5552,BD.RP.TH,Lalmonirhat,LALMONIRHAT,Rangpur,Lalmonirhat,362.0,358.6923931160812,0.0661663452425812,0.0131247866006066,0.0404417635053922,0.0918909269797702,6.62,4.04,9.19,Lalmonirhat
BGD.6.5_1,BGD,Bangladesh,BGD.6_1,Rangpur,NA,Nilphamari,NA,NA,Zila,Distict,5573,BD.RP.TH,Nilphamari,NILPHAMARI,Rangpur,Nilphamari,381.0,361.9085284388058,0.0192977866350912,0.0072314088961321,0.0051242251986721,0.0334713480715102,1.93,0.51,3.35,Nilphamari
BGD.6.6_1,BGD,Bangladesh,BGD.6_1,Rangpur,NA,Panchagarh,NA,NA,Zila,Distict,5577,BD.RP.TH,Panchagarh,PANCHAGARH,Rangpur,Panchagarh,361.0,359.3027349756775,0.0130298956650229,0.0059826308558034,0.0013039391876482,0.0247558521423976,1.3,0.13,2.48,Panchagarh
BGD.6.7_1,BGD,Bangladesh,BGD.6_1,Rangpur,NA,Rangpur,NA,NA,Zila,Distict,5585,BD.RP.TH,Rangpur,RANGPUR,Rangpur,Rangpur,330.0,325.021489120068,0.0322097621063016,0.0097932837808648,0.0130149258958065,0.0514045983167968,3.22,1.3,5.14,Rangpur
BGD.6.8_1,BGD,Bangladesh,BGD.6_1,Rangpur,NA,Thakurgaon,NA,NA,Zila,Distict,5594,BD.RP.TH,Thakurgaon,THAKURGAON,Rangpur,Thakurgaon,370.0,362.9119443112672,0.0157690147212241,0.0065395846365295,0.0029514288336262,0.0285866006088219,1.58,0.3,2.86,Thakurgaon
BGD.7.1_1,BGD,Bangladesh,BGD.7_1,Sylhet,NA,Habiganj,NA,NA,Zila,Distict,6036,BD.SY.SL,Habiganj,HABIGANJ,Sylhet,Habiganj,493.0,462.71660865720565,0.0644234623503168,0.011413113802652,0.0420537592971188,0.0867931654035148,6.44,4.21,8.68,Habiganj
BGD.7.2_1,BGD,Bangladesh,BGD.7_1,Sylhet,NA,Maulvibazar,NA,NA,Zila,Distict,6058,BD.SY.SL,Maulvibazar,MAULVIBAZAR,Sylhet,Maulvibazar,447.0,364.1430418184186,0.0157944968870186,0.0065337089563698,0.0029884273325336,0.0286005664415036,1.58,0.3,2.86,Maulvibazar
BGD.7.3_1,BGD,Bangladesh,BGD.7_1,Sylhet,NA,Sunamganj,NA,NA,Zila,Distict,6090,BD.SY.SL,Sunamganj,SUNAMGANJ,Sylhet,Sunamganj,544.0,486.2734256529228,0.0500436564651221,0.0098874903450094,0.0306641753889035,0.0694231375413407,5.0,3.07,6.94,Sunamganj
BGD.7.4_1,BGD,Bangladesh,BGD.7_1,Sylhet,NA,Sylhet,NA,NA,Zila,Distict,6091,BD.SY.SL,Sylhet,SYLHET,Sylhet,Sylhet,492.0,433.4185177155268,0.0983806228512171,0.0143058171897762,0.0703412211592557,0.1264200245431785,9.84,7.03,12.64,Sylhet
