NAME_1,DISTRICT_GADM,wt_prev_diarrhea,wt_prev_diarrhea_pct,n_children,n_eff,ci95_low_pct,ci95_high_pct,pop_total_wp19,pop_density19_km2,ann_precip_mm_per_day_2019,GID_2,GID_0,COUNTRY,GID_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,HH7,HH7A,se,ci95_low,ci95_high,wt_prev_diarrhea_feat,wt_prev_diarrhea_pct_feat,n_children_feat,n_eff_feat,ci95_low_feat,ci95_high_feat,ci95_low_pct_feat,ci95_high_pct_feat,area_km2,pop_mean_ppp19
Khulna,Bagerhat,0.0784049076418162,7.84,329.0,325.1701800330243,4.92,10.76,1437338.125,390.20485587267046,10.54242665525114,BGD.4.1_1,BGD,Bangladesh,BGD.4_1,NA,Bagerhat,NA,NA,Zila,Distict,4001,BD.KH.ST,Khulna,Bagerhat,0.0149068659041947,0.0491874504695945,0.1076223648140379,0.0784049076418162,7.84,329.0,325.1701800330243,0.0491874504695945,0.1076223648140379,4.92,10.76,3683.547509385748,3.239385732025864
Khulna,Chuadanga,0.0578247407292941,5.78,332.0,330.847023506941,3.27,8.3,1235024.125,1062.532168714407,10.54242665525114,BGD.4.2_1,BGD,Bangladesh,BGD.4_1,NA,Chuadanga,NA,NA,Zila,Distict,4018,BD.KH.ST,Khulna,Chuadanga,0.0128324351769676,0.0326731677824374,0.0829763136761507,0.0578247407292941,5.78,332.0,330.847023506941,0.0326731677824374,0.0829763136761507,3.27,8.3,1162.340455531146,8.569950420162236
Khulna,Jessore,0.0591811554896854,5.92,311.0,285.05501515350625,3.18,8.66,,,,BGD.4.3_1,BGD,Bangladesh,BGD.4_1,NA,Jessore,NA,NA,Zila,Distict,4041,BD.KH.ST,Khulna,Jashore,0.0139759191917224,0.0317883538739094,0.0865739571054615,,,,,,,,,,
Khulna,Jhenaidah,0.0654089460492224,6.54,329.0,323.14149087884323,3.85,9.24,1920175.375,982.815041423742,10.54242665525114,BGD.4.4_1,BGD,Bangladesh,BGD.4_1,NA,Jhenaidah,NA,NA,Zila,Distict,4044,BD.KH.ST,Khulna,Jhenaidah,0.0137541267825675,0.0384508575553901,0.0923670345430548,0.0654089460492224,6.54,329.0,323.14149087884323,0.0384508575553901,0.0923670345430548,3.85,9.24,1953.7504963480856,7.985093254875868
Khulna,Khulna,0.0681762672609551,6.82,270.0,254.5482262005233,3.72,9.91,2304300.75,638.0084130099972,10.54242665525114,BGD.4.5_1,BGD,Bangladesh,BGD.4_1,NA,Khulna,NA,NA,Zila,Distict,4047,BD.KH.ST,Khulna,Khulna,0.0157978670944571,0.037212447755819,0.0991400867660911,0.0681762672609551,6.82,270.0,254.5482262005233,0.037212447755819,0.0991400867660911,3.72,9.91,3611.709035510623,5.448601495332406
Khulna,Kushtia,0.0760496185800124,7.6,316.0,313.2703724191218,4.67,10.54,2060347.0,1277.2014073908251,10.54242665525114,BGD.4.6_1,BGD,Bangladesh,BGD.4_1,NA,Kushtia,NA,NA,Zila,Distict,4050,BD.KH.ST,Khulna,Kushtia,0.0149765983552592,0.0466954858037043,0.1054037513563204,0.0760496185800124,7.6,316.0,313.2703724191218,0.0466954858037043,0.1054037513563204,4.67,10.54,1613.173136262863,10.870593138961874
Khulna,Magura,0.0593909795697615,5.94,343.0,320.2305457682175,3.35,8.53,1004946.4375,958.219244259862,10.54242665525114,BGD.4.7_1,BGD,Bangladesh,BGD.4_1,NA,Magura,NA,NA,Zila,Distict,4055,BD.KH.ST,Khulna,Magura,0.0132078897806001,0.0335035155997852,0.0852784435397379,0.0593909795697615,5.94,343.0,320.2305457682175,0.0335035155997852,0.0852784435397379,3.35,8.53,1048.7646157390948,7.781294764187102
Khulna,Meherpur,0.0401857888673849,4.02,284.0,276.53522982915854,1.7,6.33,691857.5,963.598231665303,10.54242665525114,BGD.4.8_1,BGD,Bangladesh,BGD.4_1,NA,Meherpur,NA,NA,Zila,Distict,4057,BD.KH.ST,Khulna,Meherpur,0.0118101279695694,0.0170379380470287,0.0633336396877412,0.0401857888673849,4.02,284.0,276.53522982915854,0.0170379380470287,0.0633336396877412,1.7,6.33,717.9937418568347,7.747564389697648
Khulna,Narail,0.0730374414945178,7.3,356.0,350.9649164778839,4.58,10.03,766987.375,770.2663328357434,10.54242665525114,BGD.4.9_1,BGD,Bangladesh,BGD.4_1,NA,Narail,NA,NA,Zila,Distict,4065,BD.KH.ST,Khulna,Narail,0.0138890333083013,0.0458149362102472,0.1002599467787884,0.0730374414945178,7.3,356.0,350.9649164778839,0.0458149362102472,0.1002599467787884,4.58,10.03,995.7430856108278,6.284257757130333
Khulna,Satkhira,0.0586854784411741,5.87,304.0,300.0225804315276,3.21,8.53,2048493.375,600.2388918287346,10.54242665525114,BGD.4.10_1,BGD,Bangladesh,BGD.4_1,NA,Satkhira,NA,NA,Zila,Distict,4087,BD.KH.ST,Khulna,Satkhira,0.0135692465341957,0.0320897552341505,0.0852812016481978,0.0586854784411741,5.87,304.0,300.0225804315276,0.0320897552341505,0.0852812016481978,3.21,8.53,3412.7968095484457,5.982539674427298
