HH7,HH7A,n_children,n_eff,wt_prev_diarrhea,se,ci95_low,ci95_high,wt_prev_diarrhea_pct,ci95_low_pct,ci95_high_pct
Dhaka,Narayangonj,336.0,330.404756283906,0.040493619805562785,0.010844114353910325,0.019239155671898548,0.061748083939227025,4.05,1.92,6.17
Dhaka,Narsingdi,339.0,334.1291824616945,0.03760361871750451,0.010407216922959199,0.017205473548504484,0.05800176388650454,3.76,1.72,5.8
Dhaka,Rajbari,320.0,312.0890671783958,0.10683064833547753,0.017485399548904147,0.07255926521962541,0.14110203145132966,10.68,7.26,14.11
Dhaka,Shariatpur,347.0,341.2954830500779,0.10787092157886902,0.0167919360588374,0.07495872690354771,0.14078311625419032,10.79,7.5,14.08
Dhaka,Tangail,268.0,266.6885791351891,0.08149730915996216,0.016753657875663637,0.04866013972366143,0.11433447859626289,8.15,4.87,11.43
Khulna,Bagerhat,329.0,325.1701800330243,0.07840490764181626,0.01490686590419475,0.04918745046959455,0.10762236481403797,7.84,4.92,10.76
Khulna,Chuadanga,332.0,330.847023506941,0.05782474072929411,0.012832435176967683,0.03267316778243745,0.08297631367615077,5.78,3.27,8.3
Khulna,Jashore,311.0,285.05501515350625,0.059181155489685486,0.013975919191722476,0.031788353873909436,0.08657395710546154,5.92,3.18,8.66
Khulna,Jhenaidah,329.0,323.14149087884323,0.06540894604922248,0.013754126782567511,0.03845085755539016,0.09236703454305481,6.54,3.85,9.24
Khulna,Khulna,270.0,254.5482262005233,0.0681762672609551,0.015797867094457185,0.03721244775581902,0.09914008676609118,6.82,3.72,9.91
Khulna,Kushtia,316.0,313.2703724191218,0.07604961858001241,0.014976598355259217,0.04669548580370435,0.10540375135632048,7.6,4.67,10.54
Khulna,Magura,343.0,320.2305457682175,0.059390979569761596,0.013207889780600173,0.03350351559978526,0.08527844353973793,5.94,3.35,8.53
Khulna,Meherpur,284.0,276.53522982915854,0.04018578886738499,0.011810127969569498,0.017037938047028776,0.06333363968774121,4.02,1.7,6.33
Khulna,Narail,356.0,350.9649164778839,0.07303744149451784,0.013889033308301334,0.04581493621024722,0.10025994677878845,7.3,4.58,10.03
Khulna,Satkhira,304.0,300.02258043152756,0.05868547844117419,0.013569246534195735,0.032089755234150544,0.08528120164819783,5.87,3.21,8.53
Mymenshing,Jamalpur,263.0,261.07398395343427,0.03976519236374078,0.012093679860780734,0.01606157983661054,0.06346880489087102,3.98,1.61,6.35
Mymenshing,Mymensingh,470.0,468.01145746901403,0.10583242272418077,0.014219704963172784,0.0779618009963621,0.13370304445199943,10.58,7.8,13.37
Mymenshing,Netrokona,375.0,359.15470224541394,0.11401070337318125,0.016770510070573657,0.08114050363485689,0.14688090311150562,11.4,8.11,14.69
Mymenshing,Sherpur,280.0,278.69578729071173,0.0291761956778245,0.01008136497515564,0.009416720326519447,0.04893567102912955,2.92,0.94,4.89
Rajshahi,Bogura,300.0,294.82754522801616,0.05671999986465052,0.013471141425126669,0.030316562671402248,0.08312343705789879,5.67,3.03,8.31
Rajshahi,Chapai Nawabganj,381.0,378.4136652619423,0.03856317586479074,0.009898362780599596,0.01916238481481553,0.05796396691476595,3.86,1.92,5.8
Rajshahi,Joypurhat,244.0,241.90487079202282,0.05047147222489535,0.014075203695225521,0.02288407298225333,0.07805887146753737,5.05,2.29,7.81
Rajshahi,Naogaon,227.0,219.70597242320935,0.04922754007119605,0.014595582514607177,0.020620198342565982,0.07783488179982612,4.92,2.06,7.78
Rajshahi,Natore,279.0,276.43952100282877,0.06304553001984543,0.014617945148125052,0.03439435752952033,0.09169670251017054,6.3,3.44,9.17
Rajshahi,Pabna,343.0,336.13591482823335,0.07029927877690406,0.013944070178522294,0.04296890122700037,0.09762965632680776,7.03,4.3,9.76
Rajshahi,Rajshahi,286.0,272.9845615521827,0.09127383902435855,0.017430932896914948,0.057109210546405255,0.12543846750231186,9.13,5.71,12.54
Rajshahi,Sirajganj,345.0,342.5284607693815,0.08430703030699932,0.015012689565390758,0.054882158758833434,0.11373190185516521,8.43,5.49,11.37
Rangpur,Dinajpur,286.0,277.3393497068806,0.04963790497148085,0.013042040013732081,0.024075506544565972,0.07520030339839573,4.96,2.41,7.52
Rangpur,Gaibandha,340.0,338.65616696910297,0.06311669238830073,0.013214032547610834,0.03721718859498349,0.08901619618161796,6.31,3.72,8.9
